NpcID,NpcName,NpcTriggerID,BasicDialogueID,Trigger1,Trigger1DialogueID,Trigger2,Trigger2DialogueID,Trigger3,Trigger3DialogueID,StartQuestID,TriggerQuestID,QuestTriggerID
PC,주인공,,,,,,,,,,,
군인,군인,,,,,,,,,,,
경비병 도노반,경비병 도노반,,,,,,,,,,,
경비병 빅터,경비병 빅터,,,,,,,,,,,
자경단장,자경단장,,7038,V03Clear,7088,VEND,7097,,,,,
제레미,제레미,,7040,,,,,,,,,
아뉴타,아뉴타,,7042,,,,,,,,,
휴고,휴고,,7044,,,,,,,,,
벤지,벤지,,7046,,,,,,,,,
산체스,산체스,,7048,V01Receive,7051,V01Clear,7058,,,,,
말릭,말릭,,7059,V02Receive,7066,V02Clear,7072,,,,,
기술자 첸,기술자 첸,,7073,V03Receive,7080,V03Clear,7087,,,,,
의사,의사,,7098,DocConv01,7101,DocConv02,7109,Civil02Clear,7156,,,
바시안,바시안,,7111,,,,,,,,,
토냐,토냐,,7113,,,,,,,,,
파르마,파르마,,7117,,,,,,,,,
월터,월터,,7119,,,,,,,,,
아마리,아마리,,7122,Civil01Receive,7127,Civil01Clear,7134,,,,,
선장,선장,,7135,Civil02Receive,7146,Civil02Clear,7147,,,,,
통신 칩,통신 칩,,7165,,,,,,,,,
우체통,우체통,,,Civil02Receive,7164,,,,,,,
파일럿,파일럿,,7167,,,,,,,,,
