ItemID,Name,Desc,ItemType,Icon
4001,나무,튼튼한 목재입니다.,Material,heart
4002,돌,튼튼한 목재입니다.,Material,meat
4003,광철,튼튼한 목재입니다.,Material,raindrop
4004,끈,튼튼한 목재입니다.,Material,wood
1101,야구 방망이,튼튼한 목재입니다.,Melee,abcd
1102,돌 도끼,튼튼한 목재입니다.,Melee,thunder
1103,긴 칼,튼튼한 목재입니다.,Melee,abcd
1201,권총,튼튼한 목재입니다.,Gun,abcd
1301,방패,튼튼한 목재입니다.,Shield,abcd
1401,빵,튼튼한 목재입니다.,Consumable,abcd
1402,햄버거,튼튼한 목재입니다.,Consumable,abcd
1403,드링크,튼튼한 목재입니다.,Consumable,abcd
1404,물,튼튼한 목재입니다.,Consumable,abcd
1405,계란,튼튼한 목재입니다.,Consumable,abcd
1406,식은 감자튀김,튼튼한 목재입니다.,Consumable,abcd
1407,탄산빠진콜라,튼튼한 목재입니다.,Consumable,abcd
1408,식은 핫도그,튼튼한 목재입니다.,Consumable,abcd
1409,샌드위치,튼튼한 목재입니다.,Consumable,abcd
1410,커피,튼튼한 목재입니다.,Consumable,abcd
1104,전기톱,튼튼한 목재입니다.,Melee,abcd
1105,톱날야구방망이,튼튼한 목재입니다.,Melee,abcd
1106,창,튼튼한 목재입니다.,Melee,abcd
1107,투척단검,튼튼한 목재입니다.,Melee,abcd
1108,투척 봉,튼튼한 목재입니다.,Melee,abcd
